RecordedDate,record_id,ra_name,event_description,sources_matrix_1_1,correct_date_1,sources_matrix_1_2,sources_matrix_2_1,correct_date_2,sources_matrix_2_2
Date Entry is recorded,Record ID,RA Name,Description of the event,Original date of first source,Correct for date of first source,URL of first source,Date of second source,Correct date of second source,URL of second source
4/1/20 17:06,2357062,Niklas Illenseer,"From March 7, the Austrian government announces that ""Third-country nationals who have resided in one of the countries for which a travel warning in connection with the occurrence of SARS-CoV-2 within the last 14 days prior to departure are obliged to carry to carry a certificate of their health and to show that the molecular biological test for SARS-CoV-2 is negative upon arrival"" in Austria. Otherwise, the entry can be refused.",3/6/20,3/6/20,https://www.sozialministerium.at/dam/jcr:c7a06890-ec92-4ccf-9e03-863250495f25/VO_Untersuchung_von_einreisenden_Personen_aus_Risikogebieten_Letztfassung_M%C3%A4rz_2020.pdf,NA,,NA
4/1/20 17:11,6664659,Niklas Illenseer,"On March 12, 2020, following exemptions were added to the policy restricting the entry of third-country nationals from March 6: restrictions ""do not apply to the crew of cargo flights, emergency flights, ambulance/rescue flights or transfer flights.""",3/12/20,3/12/20,https://www.sozialministerium.at/dam/jcr:623c8467-df5f-423f-a2d1-c02daef4bace/BGBLA_2020_II_89.pdf,NA,,NA
4/1/20 17:16,8217273,Niklas Illenseer,"On March 6, 2020, Austria announced that ""People entering the country or traveling through the country are obliged to undergo a medical check-up if they are suspected of COVID-19, if so demanded by the authorities""",3/6/20,3/6/20,https://www.sozialministerium.at/dam/jcr:254d3b35-69eb-4f2a-8df1-07a010dff2ea/VO_gem_%C2%A7_25_EpG_2._Letztfassung_M%C3%A4rz_2020.pdf,NA,,NA
4/1/20 17:29,4348337,Niklas Illenseer,"From March 11, 2020, Austria temporarily reintroduces border controls at the internal borders with Italy for 10 days.",3/10/20,3/10/20,https://www.sozialministerium.at/dam/jcr:a37c0451-29fe-4509-bc16-fabd5006ebd1/VO%20Vor%C3%BCbergehende%20Wiedereinf%C3%BChrung%20von%20Grenzkontrollen%20Italien.pdf,NA,,NA
4/1/20 17:33,261890,Niklas Illenseer,"From March 10, 2020, Austria stops passenger rail traffic from Italy until April 3, 2020. This rule does not apply to freight transport or trains that do no stop in Austria.",3/10/20,3/10/20,https://www.sozialministerium.at/dam/jcr:e5a0e5cd-f92b-4b53-b828-acd1add73e3d/VO%20Einstellung%20des%20Schienenverkehrs%20aus%20Italien.pdf,NA,,NA
4/1/20 17:38,4868526,Niklas Illenseer,"From March 11, 2020, Austria obligates persons who want to enter Austria from Italy to carry a medical certificate in German, English or Italian and show that the molecular biological test for SARS-CoV-2 is negative. The medical certificate cannot be older than four days upon entry. If failing to do so, persons can be denied entry. Austrian citizens or those with their main, secondary or habitual residence in Austria are allowed to enter but are obliged to commence immediately with a 14-day self-monitored home quarantine. Additionally, transit through Austria is permitted without a stopover, provided that the exit is ensured. Freight, commercial and commuter traffic is also exempted from this policy. The policy is in place until April 3, 2020, at 12:00 o'clock.",3/10/20,3/10/20,https://www.sozialministerium.at/dam/jcr:6538d723-1af2-4afc-8f1b-d46fe54fc202/VO%20%C3%BCber%20Ma%C3%9Fnahmen%20bei%20der%20Einreise%20aus%20Italien.pdf,NA,,NA
4/1/20 17:42,7623665,Niklas Illenseer,"From March 10, 2020, Austria bans gatherings of more than 500 people outdoors and more than 100 people in confined spaces.",3/10/20,3/10/20,https://www.sozialministerium.at/dam/jcr:80c9fdc7-1169-44bc-87f0-9a8e7b98443d/Erlass_BMSGPK_Ma%C3%9Fnahmen%20gegen%20Zusammenstr%C3%B6men%20gr%C3%B6%C3%9Ferer%20Menschenmengen_15....pdf,NA,,NA
4/1/20 17:46,8137667,Niklas Illenseer,"From February 28, 2020, Austria announced that ""Air carriers are required [...] to immediately report passengers who have been in an area for which a travel warning related to the occurrence of SARS-CoV-2 has been pronounced in the last 14 days before the start of the trip, and who have arrived at an airport in Austria.""",2/28/20,2/28/20,https://www.sozialministerium.at/dam/jcr:b5ddf361-8232-4ed2-a245-a6b4b9c05dcf/BGBLA_2020_II_75.pdf,NA,,NA
4/1/20 17:53,3020861,Niklas Illenseer,"From March 13, 2020, in Austria, quarantine policies for residents of Paznautal and St. Anton am Arlberg (in the Tyrol county) are introduced for 14 days. Hence, nobody is permitted to enter or leave the areas while local residents are still permitted to leave their homes.",3/13/20,3/13/20,https://www.tirol.gv.at/meldungen/meldung/artikel/coronavirus-paznauntal-und-st-anton-am-arlberg-werden-isoliert-1/,NA,,NA
4/1/20 17:57,1189139,Niklas Illenseer,"From March 16, 2020, Austria declares that citizens must suspend all non-essential activities outside their homes; exemptions are essential work, for essential shopping or services, helping those in need of support, physical activity if alone or with co-living persons.",3/13/20,3/13/20,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,NA,,NA
